experiment_type,language,task,submetric,control_index,layer_index,metric,value
probe,ja,question_type,None,None,7,recall,0.9272727272727272
probe,ja,complexity,None,None,7,loss,0.021408949202547472
probe,ja,complexity,None,None,7,mse,0.021489085629582405
probe,ja,complexity,None,None,7,rmse,0.14659156056738876
probe,ja,complexity,None,None,7,r2,0.5872131586074829
probe,ko,question_type,None,None,7,loss,0.6309512683323452
probe,ko,question_type,None,None,7,accuracy,0.7454545454545455
probe,ko,question_type,None,None,7,f1,0.75
probe,ko,question_type,None,None,7,precision,0.7368421052631579
probe,ko,question_type,None,None,7,recall,0.7636363636363637
probe,ko,complexity,None,None,7,loss,0.03048774174281529
probe,ko,complexity,None,None,7,mse,0.03059077076613903
probe,ko,complexity,None,None,7,rmse,0.17490217484679552
probe,ko,complexity,None,None,7,r2,0.05015099048614502
probe,ru,question_type,None,None,7,loss,0.5292702146938869
probe,ru,question_type,None,None,7,accuracy,0.9545454545454546
probe,ru,question_type,None,None,7,f1,0.9557522123893806
probe,ru,question_type,None,None,7,precision,0.9310344827586207
probe,ru,question_type,None,None,7,recall,0.9818181818181818
probe,ru,complexity,None,None,7,loss,0.054373939388564656
probe,ru,complexity,None,None,7,mse,0.054057203233242035
probe,ru,complexity,None,None,7,rmse,0.23250204995492413
probe,ru,complexity,None,None,7,r2,-0.367326021194458
probe,ar,question_type,None,None,8,loss,0.7287110805511474
probe,ar,question_type,None,None,8,accuracy,0.7662337662337663
probe,ar,question_type,None,None,8,f1,0.6896551724137931
probe,ar,question_type,None,None,8,precision,0.5555555555555556
probe,ar,question_type,None,None,8,recall,0.9090909090909091
probe,ar,complexity,None,None,8,loss,0.03194049373269081
probe,ar,complexity,None,None,8,mse,0.031766075640916824
probe,ar,complexity,None,None,8,rmse,0.17823040043975893
probe,ar,complexity,None,None,8,r2,0.45236700773239136
probe,en,question_type,None,None,8,loss,0.5303256213665009
probe,en,question_type,None,None,8,accuracy,0.9454545454545454
probe,en,question_type,None,None,8,f1,0.9454545454545454
probe,en,question_type,None,None,8,precision,0.9454545454545454
probe,en,question_type,None,None,8,recall,0.9454545454545454
probe,en,complexity,None,None,8,loss,0.019626135139593055
probe,en,complexity,None,None,8,mse,0.019637851044535637
probe,en,complexity,None,None,8,rmse,0.14013511709966078
probe,en,complexity,None,None,8,r2,0.49043697118759155
probe,fi,question_type,None,None,8,loss,0.5531603097915649
probe,fi,question_type,None,None,8,accuracy,0.9
probe,fi,question_type,None,None,8,f1,0.8990825688073395
probe,fi,question_type,None,None,8,precision,0.9074074074074074
probe,fi,question_type,None,None,8,recall,0.8909090909090909
probe,fi,complexity,None,None,8,loss,0.02869133385164397
probe,fi,complexity,None,None,8,mse,0.028861360624432564
probe,fi,complexity,None,None,8,rmse,0.16988631676633809
probe,fi,complexity,None,None,8,r2,0.2690922021865845
probe,id,question_type,None,None,8,loss,0.5912451531205859
probe,id,question_type,None,None,8,accuracy,0.8
probe,id,question_type,None,None,8,f1,0.7708333333333334
probe,id,question_type,None,None,8,precision,0.9024390243902439
probe,id,question_type,None,None,8,recall,0.6727272727272727
probe,id,complexity,None,None,8,loss,0.027178839115159854
probe,id,complexity,None,None,8,mse,0.027115244418382645
probe,id,complexity,None,None,8,rmse,0.16466707144533374
probe,id,complexity,None,None,8,r2,0.3349885940551758
probe,ja,question_type,None,None,8,loss,0.6431339333454767
probe,ja,question_type,None,None,8,accuracy,0.6521739130434783
probe,ja,question_type,None,None,8,f1,0.7538461538461538
probe,ja,question_type,None,None,8,precision,0.6533333333333333
probe,ja,question_type,None,None,8,recall,0.8909090909090909
probe,ja,complexity,None,None,8,loss,0.024352978604535263
probe,ja,complexity,None,None,8,mse,0.02461579069495201
probe,ja,complexity,None,None,8,rmse,0.15689420223498385
probe,ja,complexity,None,None,8,r2,0.5271518230438232
probe,ko,question_type,None,None,8,loss,0.6297665408679417
probe,ko,question_type,None,None,8,accuracy,0.7545454545454545
probe,ko,question_type,None,None,8,f1,0.7476635514018691
probe,ko,question_type,None,None,8,precision,0.7692307692307693
probe,ko,question_type,None,None,8,recall,0.7272727272727273
probe,ko,complexity,None,None,8,loss,0.029079003259539604
probe,ko,complexity,None,None,8,mse,0.029142329469323158
probe,ko,complexity,None,None,8,rmse,0.17071124587830516
probe,ko,complexity,None,None,8,r2,0.09512537717819214
probe,ru,question_type,None,None,8,loss,0.5220807279859271
probe,ru,question_type,None,None,8,accuracy,0.9636363636363636
