language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
id,0.5727272727272728,0.4545454545454545,0.5363636363636364,0.4272727272727272,0.4727272727272726,0.1,21.15384615384617,question_type,LogisticRegression,accuracy,test,overall,
ja,0.6521739130434783,0.5217391304347826,0.5434782608695652,0.5543478260869565,0.5398550724637681,0.1123188405797102,20.80536912751679,question_type,LogisticRegression,accuracy,test,overall,
ko,0.6636363636363637,0.5454545454545454,0.4363636363636363,0.4727272727272727,0.4848484848484848,0.1787878787878788,36.87500000000002,question_type,LogisticRegression,accuracy,test,overall,
ru,0.8,0.3818181818181818,0.4454545454545454,0.6363636363636364,0.4878787878787878,0.3121212121212122,63.975155279503134,question_type,LogisticRegression,accuracy,test,overall,
ar,0.0978853702545166,0.0978853702545166,0.0978853702545166,0.0978853702545166,0.0978853702545166,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_verb_edges,
en,0.0600053220987319,0.0600053220987319,0.0600053220987319,0.0600053220987319,0.0600053220987319,6.938893903907228e-18,1.156379744531672e-14,single_submetric,DummyRegressor,mse,test,avg_verb_edges,
fi,0.0752254799008369,0.0752254799008369,0.0752254799008369,0.0752254799008369,0.0752254799008369,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_verb_edges,
id,0.0807329267263412,0.0807329267263412,0.0807329267263412,0.0807329267263412,0.0807329267263412,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_verb_edges,
ja,0.1018375754356384,0.1018375754356384,0.1018375754356384,0.1018375754356384,0.1018375754356383,-1.3877787807814457e-17,-1.3627374521092418e-14,single_submetric,DummyRegressor,mse,test,avg_verb_edges,
ko,0.0354208461940288,0.0354208461940288,0.0354208461940288,0.0354208461940288,0.0354208461940288,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_verb_edges,
ru,0.0527771338820457,0.0527771338820457,0.0527771338820457,0.0527771338820457,0.0527771338820457,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_verb_edges,
ar,0.987012987012987,0.5064935064935064,0.5844155844155844,0.4285714285714285,0.5064935064935064,0.4805194805194805,94.87179487179488,question_type,XGBClassifier,accuracy,test,overall,
en,0.7363636363636363,0.5181818181818182,0.4636363636363636,0.5454545454545454,0.5090909090909091,0.2272727272727271,44.64285714285712,question_type,XGBClassifier,accuracy,test,overall,
fi,0.8090909090909091,0.4636363636363636,0.4454545454545454,0.4727272727272727,0.4606060606060605,0.3484848484848485,75.65789473684214,question_type,XGBClassifier,accuracy,test,overall,
id,0.6909090909090909,0.5272727272727272,0.5,0.4727272727272727,0.5,0.1909090909090909,38.18181818181819,question_type,XGBClassifier,accuracy,test,overall,
ja,0.6413043478260869,0.5108695652173914,0.5543478260869565,0.5108695652173914,0.5253623188405797,0.1159420289855072,22.06896551724137,question_type,XGBClassifier,accuracy,test,overall,
ko,0.6636363636363637,0.5454545454545454,0.509090909090909,0.4818181818181818,0.5121212121212121,0.1515151515151516,29.585798816568065,question_type,XGBClassifier,accuracy,test,overall,
ru,0.8727272727272727,0.4454545454545454,0.4818181818181818,0.8,0.5757575757575758,0.2969696969696969,51.57894736842104,question_type,XGBClassifier,accuracy,test,overall,
ar,0.0664701163768768,0.0664701163768768,0.0664701163768768,0.0664701163768768,0.0664701163768768,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_subordinate_chain_len,
en,0.0247156452387571,0.0247156452387571,0.0247156452387571,0.0247156452387571,0.024715645238757,-3.469446951953614e-18,-1.4037452465586879e-14,single_submetric,DummyRegressor,mse,test,avg_subordinate_chain_len,
fi,0.0468291230499744,0.0468291230499744,0.0468291230499744,0.0468291230499744,0.0468291230499744,6.938893903907228e-18,1.4817475647584267e-14,single_submetric,DummyRegressor,mse,test,avg_subordinate_chain_len,
id,0.0711118429899215,0.0711118429899215,0.0711118429899215,0.0711118429899215,0.0711118429899215,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_subordinate_chain_len,
ja,0.130652517080307,0.130652517080307,0.130652517080307,0.130652517080307,0.130652517080307,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_subordinate_chain_len,
ko,0.0779614672064781,0.0779614672064781,0.0779614672064781,0.0779614672064781,0.0779614672064781,0.0,0.0,single_submetric,DummyRegressor,mse,test,avg_subordinate_chain_len,
ru,0.0441038534045219,0.0441038534045219,0.0441038534045219,0.0441038534045219,0.0441038534045219,6.938893903907228e-18,1.5733078559516057e-14,single_submetric,DummyRegressor,mse,test,avg_subordinate_chain_len,
ar,0.0396468728597336,0.0650368838091583,0.0609747123923637,0.0678907438657478,0.0646341133557566,0.0249872404960229,38.65952389334899,single_submetric,Ridge,mse,test,avg_links_len,
en,0.0063291946217137,0.011205070255704,0.0105996692334925,0.0129460510363453,0.0115835968418472,0.0052544022201335,45.360713877328216,single_submetric,Ridge,mse,test,avg_links_len,
fi,0.0178179830623748,0.0233950912494846,0.0222270832494752,0.0253820551333931,0.0236680765441176,0.0058500934817428,24.717232390381096,single_submetric,Ridge,mse,test,avg_links_len,
